author,timestamp,likes,content,video_id,public_status
@sahabatariefnusantara,2023-07-18T10:01:52Z,0,Bener lu bang...,aXLVJO7f21c,True
@113_bachtiardanuarta_b2,2023-02-04T11:26:18Z,0,FCC juga ada  juga ko machine learning w/ TF,aXLVJO7f21c,True
@hilmanpermana7167,2021-10-21T05:26:51Z,0,"Wah keren bang penjelasannya, mau tanya bang? Kira - kira materi MTK SMA apa nih yang bakal kepake lagi di ML dan harus dikuatin?",aXLVJO7f21c,True
@andremaulanamubarak5220,2021-06-15T18:44:21Z,0,Bang saya beli buku belajar python tentang Big data apakah itu ada kaitanya juga dengan machine learning?,aXLVJO7f21c,True
@elviracatrinenatalie9521,2021-10-19T01:50:36Z,0,Bang kita bisa menghasilkan uang gak kalau kita sudah bisa membuat machine learning.,aXLVJO7f21c,True
@yoidong8968,2022-03-15T08:34:18Z,0,kursus indonya engga ada ya masಠ_ಠಠ_ಠಠ_ಠ,aXLVJO7f21c,True
@yopiibrahim979,2021-09-20T16:34:59Z,0,"Bang gua tersesat sama datasience, mulai dari mana,  soalnya ujung² Ml bang",aXLVJO7f21c,True
@andrianaardana177,2021-09-09T07:29:30Z,0,Bang kalo buat belajar ML ada spek leptop yang rekomen gk ?,aXLVJO7f21c,True
@adammajid8731,2022-04-17T22:05:09Z,0,terimakasih bang,aXLVJO7f21c,True
@user74555-xyz,2024-09-08T11:53:53Z,0,"bang mau nanya, pas kuliah ikut program msib gitu ga?",aXLVJO7f21c,True
@wiwinyuliana7568,2021-06-13T14:42:03Z,0,kak,aXLVJO7f21c,True
@hhha3119,2022-12-16T08:49:21Z,0,"bangg, kok belajar deep learning dulu? bukannya lbih susah?",aXLVJO7f21c,True
@suryaelz,2022-05-13T22:16:49Z,50,"Bayangin record 12 jam suaranya ga ke record wkwk, ga bang canda, makasih banget ilmunya, semoga balik jadi amal jariyah",WH1SduDRL_Y,True
@aliif,2022-04-17T09:31:03Z,26,"oh ini toh video yang 12 jam lewat 5 menit itu, alhamdulillah terimakasih mas nauval video2 nya boleh nih jadi kayak channel freecodecamp versi indonesia",WH1SduDRL_Y,True
@syahrulapriansyah9484,2022-05-01T05:44:16Z,16,"Makasih kak ilmunya, saya masih masih semester 1 S1 tp udh tertarik sama machine learning, video kyk gini membantu banget kak, saran buat video kyk gini lg kak, tapi bahas  data processing sama visualisasi nya",WH1SduDRL_Y,True
@oki2507,2023-01-12T10:35:31Z,6,Penjelasan yg sangat jelas dan detail... Sukses selalu pak Irwan,WH1SduDRL_Y,True
@muhammadriansyah2568,2022-04-18T16:37:25Z,6,"Terima kasih atas ilmunya pak, kalo boleh rekom, untuk yang K-Means boleh di tambah pak. Soalnya untuk pembelajaran tugas akhir 🙏",WH1SduDRL_Y,True
@thearka443,2022-06-04T17:51:18Z,5,"Di 8:29:08, Tabel Kontingensi Humidity kayanya kurang sesuai ya bang? Humidity Normalnya Yes 7 | No 0, padahal di 8:27:32, ada 1 Humidity yang No. Jadinya hasil Tree di 8:31:52, kalo Humidity Normal langsung Yes, padahal harusnya ada 1 kasus bisa jadi No (bercabang lagi sekali). Ini nanya lho Bang barangkali aku salah paham.",WH1SduDRL_Y,True
@godfreyofbouillon1792,2022-04-17T10:39:01Z,5,"【 *Personal Timestamp* 】
3:44:10 correlation between variable",WH1SduDRL_Y,True
@belterlimanol8968,2022-04-20T15:09:10Z,4,"mohon maaf pak, klo datanya udah dimanipulasi itu apa masih bisa disebut data?",WH1SduDRL_Y,True
@boo6473,2022-04-17T09:29:32Z,3,ini emang ga ada suaranya?,WH1SduDRL_Y,True
@Andina11,2022-06-28T12:58:05Z,3,"asik kak cara ngajarnya  ga ngebosenin + mudah dimengerti, seru jadi nyimaknya thanks kak sangat bermanfaat",WH1SduDRL_Y,True
@wawan.sulisstia,2022-08-03T15:41:13Z,2,Boleh dibuatkan Automate the Boring Stuff with Python versi Indo gk Pak 😅💕,WH1SduDRL_Y,True
@dopamine9176,2022-04-18T01:46:15Z,2,"Makasih pak, 12 jam yang sangat bermanfaat",WH1SduDRL_Y,True
@riyotech1721,2022-04-22T00:45:00Z,1,Tahapan yg benar gimana bang? Preprocessing data dulu baru di split atau di split dulu baru di preprocessing? Kalau di split dulu apakah data testnya juga ikut di preprocessing?,WH1SduDRL_Y,True
@rnjaman29,2022-04-19T16:35:03Z,1,Terimakasih pak atas ilmunya,WH1SduDRL_Y,True
@manz1337,2023-07-26T12:19:01Z,1,"Gw subcribe lu bang,keren amat dah,jarang gw nemu org baik kaya elu❤",WH1SduDRL_Y,True
@mhdnauvalazhar,2023-03-20T21:39:39Z,1,"Buku belajar machine learning yang digunakan pada video ini ada di link berikut:

https://shp.ee/q3gwheq",WH1SduDRL_Y,True
@aldiakbar5797,2022-04-27T04:11:31Z,1,Terima kasih pak Irwan materinya,WH1SduDRL_Y,True
@pramujapangestu4906,2023-02-15T07:10:28Z,1,"terimakasih pak irwan, penjelasanya asyik. semoga sukses selalu",WH1SduDRL_Y,True
@AndiAlfiSyahrin,2023-01-23T14:28:22Z,1,di sesi one hot encoding kayaknya perlu basic statistika buat ngerti. btw bukannya pake regresi logistik biner ya? soalnya outcomenya binomial,WH1SduDRL_Y,True
@novitasari7825,2022-10-10T05:29:44Z,1,Personal timestamp :,WH1SduDRL_Y,True
@fauzi.wijaya,2024-10-28T10:28:00Z,1,17:05 28/10/2024,WH1SduDRL_Y,True
@ErlanSebastianUsin,2022-04-19T14:57:31Z,1,terimakasih pak ilmunya,WH1SduDRL_Y,True
@mhdnauvalazhar,2022-04-20T10:03:56Z,1,"donate bg ehe: https://trakteer.id/arrayid

kalo lo belum puas belajar di video ini, ayo join kelas machine learning!
https://multinity.id/class/machine-learning-untuk-pemula",WH1SduDRL_Y,True
@nuryasin5431,2022-04-18T09:08:31Z,1,Ada brp bagian Pak?,WH1SduDRL_Y,True
@daffa9763,2024-09-14T06:20:48Z,1,Ilmu mahal dikasih gratis❤,WH1SduDRL_Y,True
@ferdiansah9764,2022-04-17T17:00:20Z,1,"wahhh knowledge baru nih , mantep pak",WH1SduDRL_Y,True
@bentosaragih7298,2024-04-14T06:40:24Z,1,"mas, bagi file ppt nya",WH1SduDRL_Y,True
@arma5177,2022-04-17T15:48:01Z,1,Terimakasih Pak Irwan,WH1SduDRL_Y,True
@clotehmedia69,2022-04-18T14:53:09Z,0,Channel narsum di atas boleh cek Irwansight di pencarian YT.. isinya sama2 daging,WH1SduDRL_Y,True
@baniaraja694,2022-05-29T13:47:50Z,0,mirip suara dosen umri pak yoze,WH1SduDRL_Y,True
@gimmickdoangini,2022-05-17T01:59:20Z,0,"Manusia 1/2 Chip bapak ini, gila kali Ilmu nya",WH1SduDRL_Y,True
@yp4279,2022-04-17T14:40:23Z,0,"Mas, meski ga jago math di title, tapi bukannya ttep harus paham dan enjoy ya klo mau enak?",WH1SduDRL_Y,True
@karyanayandi5577,2022-04-17T13:33:06Z,0,mantap,WH1SduDRL_Y,True
@baniaraja694,2022-06-03T23:45:42Z,0,pak saya tertarik bergabung kursus,WH1SduDRL_Y,True
@heloraijin9724,2022-04-17T11:57:20Z,0,Bhs pemrograman yg harus di pelajari apa aja bang buat machine learning🙏?,WH1SduDRL_Y,True
@baniaraja694,2022-05-31T03:49:24Z,0,"assalamualaium pak. saya tertarik bergabung pak. saya mau belajar menchine learning pak, kebetulan saya juga lagi skripsi pak temanya menchine learning.",WH1SduDRL_Y,True
@albabriziq,2022-04-17T10:36:48Z,0,Wih pak Irwan,WH1SduDRL_Y,True
@danimusbar,2022-04-17T09:46:16Z,0,Awesome...,WH1SduDRL_Y,True
@prasetiyo7625,2022-06-08T00:27:23Z,0,12jam tanpa kopi super sekaleeee,WH1SduDRL_Y,True
@yusuf5410,2022-05-14T03:03:10Z,0,"Masih setia nunggu tutorial next js crud, dari sekian lama😣",WH1SduDRL_Y,True
@novinardianyulianto5372,2022-04-17T16:42:11Z,0,ini channel ga pantes 10k subs sih 😭,WH1SduDRL_Y,True
@hardwired66,2022-04-17T16:08:34Z,0,mantap,WH1SduDRL_Y,True
@massofyanhadi,2022-04-18T13:58:01Z,0,gila sih ini..makasih bang,WH1SduDRL_Y,True
@SammiAldhiYanto,2022-05-09T00:41:35Z,0,terima kasih banyak kang atas ilmunya,WH1SduDRL_Y,True
@rajahutan12134,2022-05-07T05:37:59Z,0,boleh minta no wa nya ga pakk ? 🙏🙏,WH1SduDRL_Y,True
@ikhsandwisaputraa,2022-04-17T20:20:20Z,0,masyaallah tabarakallah,WH1SduDRL_Y,True
@M11-v9e,2022-04-26T10:51:31Z,0,terima kasih om,WH1SduDRL_Y,True
@jouzuback4230,2022-04-25T01:53:47Z,0,"bang apakah nanti abang membuka kelas ML, AI di udemy? atau sekalian membuka kelas Data Engineer? kalo iya sih, langsung gas buat beli coursenya",WH1SduDRL_Y,True
@33fajar20,2022-04-24T05:37:06Z,0,Terimakasih pak,WH1SduDRL_Y,True
@rizkysouisay1157,2022-04-17T20:22:01Z,0,manntaapp bgt ini materi.. jarang bgt materi kyk gini,WH1SduDRL_Y,True
@raradigital6999,2023-06-22T13:10:51Z,14,"Trimakasih ya pak, saya termasuk anak Indonesia yang belum ada biaya untuk kuliah tapi sangat terbantu oleh penjelasan bapak untuk saya belajar ❤",mEwoAV5_dcA,True
@Yudibilly,2024-04-09T12:57:10Z,10,pendatang baru. dari web programming pindah ke machine learning. A.I >= ML.,mEwoAV5_dcA,True
@sujarwosujarwo1978,2023-06-01T15:41:21Z,6,"pondasi AI SUDAH ADA di ilmu jawa kuno yaitu ilmu titen , trus di bukukan jadi primbon tapi secra visual",mEwoAV5_dcA,True
@inyomanpartayasa8392,2023-03-13T03:29:02Z,3,sangat mudah di pahami bapk.. pokoknya saya suka dengan cara pembelajran bapak...the best,mEwoAV5_dcA,True
@hasnawinawi898,2023-08-28T16:35:17Z,3,"Mantap sekali,,,, Penjelasan Bapak memberikan banyak pencerahan kepada Saya,. Terima kasih banyak pak.,..",mEwoAV5_dcA,True
@rizkipermala8121,2022-11-25T05:59:59Z,3,"Alhamdulillah penjelasannya sangat mudah dimengerti, lebih mantap kalo dikasih referensi Pak, kayak siapa yg menciptakan atau mengusulkan algoritme tsb, dst. 

terima kasih banyak untuk ilmunya Pak 🙏",mEwoAV5_dcA,True
@faridnoor1389,2024-04-23T01:55:58Z,2,Alhamdulillah Barokallah Ustadz Fahri,mEwoAV5_dcA,True
@maritaprasetyani6972,2023-12-15T10:33:01Z,2,Terima kasih untuk penjelasannya,mEwoAV5_dcA,True
@youngabrudawg,2022-02-24T08:43:23Z,2,"Makasih banyak pak atas ilmunya, dosen saya pun suruh liat video bapak hehehe, seng tenaaaang masszehhh",mEwoAV5_dcA,True
@donnyfernando5990,2022-11-22T17:30:44Z,2,"Mantap bgt banggg 🔥🔥🔥
Mindset dan ilmu di bidang data siencenya terbentuk secara sempurna 
Selama ini saya mencoba memahami ilmu data sience secara otodidak tapi msh kurang paham
Tapi setelah nonton video abang saya paham secara sempurna
Berkah pasti datang kepadamu bang 😁
Di tunggu bang pelajaran selanjutnya
Udah gue subscribe sama aktifin notifnya",mEwoAV5_dcA,True
@dafariskiprayoga4654,2024-05-31T07:56:04Z,2,"it's been a long time, since i was looking for ML tutorial. Finally found this video which is very easy to understand. Terima kasih banyak Pak!",mEwoAV5_dcA,True
@adeiskandar1349,2023-06-16T02:20:13Z,1,Terimakasih Pak Barakallahu fiik atas ilmunya 🙏,mEwoAV5_dcA,True
@erthinwainggai,2023-11-27T01:02:54Z,1,Makasih byk pak ilmunya 🙏🙏,mEwoAV5_dcA,True
@ridhorisky86,2023-08-31T19:32:27Z,1,Makasih banyak ya om🙏,mEwoAV5_dcA,True
@maniacjoe3088,2022-12-24T17:29:24Z,1,Supervised Learning seperti RAM dengan fitur ECC(Error Code Correction),mEwoAV5_dcA,True
@faridmutaqien8148,2022-09-28T11:41:37Z,1,"Makasih mas , alhamdulillah jadi paham skr",mEwoAV5_dcA,True
@mirfanfauzi5063,2023-06-22T03:08:53Z,1,Terima kasih pak,mEwoAV5_dcA,True
@RandomPositiveLive,2023-05-16T21:46:23Z,1,"Pak apakah saya  bisa berkonsultasi terkait rencana tesis saya terkait penerapan  machine learning terkhusus supervise learning  untuk peningkatan peningkatan literasi digital  melalui platform yang akan di bangun yaitu platform merdeka literasi digital..


Apakah saya bisa meminta sarannya bapak?",mEwoAV5_dcA,True
@juprisupriadi175,2022-09-29T09:11:29Z,1,terimakasih ilmunya. izin menyimak pak,mEwoAV5_dcA,True
@marcellacella8293,2022-10-12T04:32:30Z,1,"Terima kasih untuk ilmu nya sangat membantu, terus berkarya pak",mEwoAV5_dcA,True
@handrymingkid,2023-03-18T03:02:55Z,1,👍🏻🙏🏻,mEwoAV5_dcA,True
@jannahroihatul53,2022-02-18T08:03:00Z,1,"Sangat membantu pak, terima kasih!
Ditunggu video selanjutnya, sehat selalu Pak..",mEwoAV5_dcA,True
@MohFaisal-dz8iu,2024-03-14T06:01:34Z,1,Terima kasih banyak pak,mEwoAV5_dcA,True
@riskadwiayulestari9883,2022-02-19T05:00:03Z,1,sukses terus untuk chanelnya pak 🙏,mEwoAV5_dcA,True
@yudha6063,2024-06-06T06:23:03Z,1,Coba lgsg praktek d komputer coding nya dan implementasi k Instagram atau k mna yang relevan,mEwoAV5_dcA,True
@abduljapar5433,2024-02-25T08:29:38Z,1,Aduh udh 1 tahun ga upload video lagi,mEwoAV5_dcA,True
@heru6394,2023-01-22T06:28:08Z,0,"Salam, Pak. Trims ilmunya, barokah buat keluarga semoga senantiasa terlimpah. Saya izin bertanya, terkait contoh penentuan berat badan yang ideal, Excel khan mudah sekali melakukan hal itu ya. Kita cukup membuat formula sederhana If-Case di satu sel excel. Dengan demikian, apakah Excel ini termasuk sistem AI?",mEwoAV5_dcA,True
@macha5485,2022-02-16T18:32:54Z,0,Mantab pak fahri 👍👍👍,mEwoAV5_dcA,True
@MrSumirat79,2023-03-01T04:31:46Z,0,Ini adalah video pertama yang saya tonton dari channel ini. Sangat membantu dan mudah dipahami. Terima kasih atas ilmunya 🙏,mEwoAV5_dcA,True
@hendrabapux277,2023-01-31T11:27:18Z,0,"Bagus banget Pak videonya, mudah dimengerti, terimakasih untuk ilmunya Pak 🙏",mEwoAV5_dcA,True
@yogiganteng9231,2023-01-30T16:46:57Z,0,Makasi pak,mEwoAV5_dcA,True
@naufalalfaiiz,2022-02-20T02:52:07Z,0,01:50 lupa diedit pak heheh😂,mEwoAV5_dcA,True
@sholahuddinihsan6391,2022-03-14T02:40:57Z,0,"Alhamdulillah penjelasannya sangat mudah dimengerti, terima kasih banyak pak 🙏.",mEwoAV5_dcA,True
@howoyomor,2023-01-25T13:08:29Z,0,"terima kasih admin ,materinya mudah dipahami",mEwoAV5_dcA,True
@arlita03,2022-09-29T00:59:35Z,0,"Bagus penjelasannya mudah dipahami, Reverensi nya ambil dari mana pak? mau dimasukkan kedalam referensi penelitian 🙏🏻",mEwoAV5_dcA,True
@dwiwahyuprastyo4447,2023-01-05T00:22:21Z,0,"izin bertanya pak, untuk svm sendiri apakah svm tersebut dapat mengklasifikasikan suatu objek lebih dari 2 kategori pak? terimakasih banyak pak, mohon untuk dijawab 🙏",mEwoAV5_dcA,True
@450retnoprihatini9,2022-06-14T00:31:21Z,0,"terimakasih pak,",mEwoAV5_dcA,True
@shireennajwalatifah4446,2022-12-03T14:56:22Z,0,Alhamdulillah.tksh share ilmunya pak.sy lebih paham.barakallah pak.mohon utk buat LG pak Vidio utk prediksi ibu hamil yg mengalami risiko komplikasi kehamilan atau tdk  akan berisiko komplikasi(classifikasi)decesion tree.tksh pak ilmunya,mEwoAV5_dcA,True
@zulhanabdi6548,2022-08-21T17:43:42Z,0,bissmilah ambil topik ML. matur suwun ilmunya pak,mEwoAV5_dcA,True
@supernofa,2022-09-10T12:29:51Z,0,Buku recommendate utk belajar machine learning dari nol apa pak? Tks,mEwoAV5_dcA,True
@risantiicha5458,2022-11-05T14:58:17Z,0,Izin bertanya pak untuk supervised learning regression itu pakai alogaritma apa ya,mEwoAV5_dcA,True
@monicakristin8144,2022-09-25T15:05:25Z,0,Terimakasih,mEwoAV5_dcA,True
@yunitrilestari5368,2022-11-01T04:41:35Z,0,"Terima kasih banyak, sangat membantuu sekali",mEwoAV5_dcA,True
@AgustineRubiyanto,2023-03-29T07:10:56Z,0,Bang kalau penggunaan machine learning di bidang keuangan atau akuntansi itu contohnya seperti apa?,mEwoAV5_dcA,True
@alwipakpahanpakpahan5480,2022-04-17T04:56:27Z,0,Sangat bermanfaat,mEwoAV5_dcA,True
@uwaiskeren2102,2024-11-07T04:19:08Z,0,"Assalamualaikum
Pak, apakah bisa di share materi nya?",mEwoAV5_dcA,True
@atsbitiman,2023-03-29T14:37:35Z,0,Keren.... langsung paham penjabarannya. Terimakasih banyak Pak,mEwoAV5_dcA,True
@galuhmumpuni,2024-01-13T12:36:36Z,0,"Mau skripsi ambil topik ML. Masih bingung, akhirnya nemu ini, saya sangat berterima kasih banyak. Jadi paham.",mEwoAV5_dcA,True
@andiidonk6311,2024-09-12T02:33:03Z,0,kenapa AI sangat mirip dengan machine learning,mEwoAV5_dcA,True
@azeterienaa,2024-08-28T11:57:53Z,0,pa pingin request bahas model2 lainnya juga hehee terima kasih pak atas ilmunya..,mEwoAV5_dcA,True
@aguskrisna2668,2022-03-10T09:09:04Z,5,"Videonya sangat jelas 👍, Untuk optimasi decision tree dengan algoritma genetika, bagaimana penerapannya di rapidminer ? 🙏",ovWY9NZXsPA,True
@youngabrudawg,2022-03-24T06:01:20Z,4,"mohon maaf pak pada menit 34:40 bapak hanya mengaktifkan apply pruning dan apply prepruning pada parameter operator Decision Tree, sedangkan pada parameter random forest tidak, dan bapak mejelaskan kembali hasil result accuracy pada random forest bahwa bapak  menerapkan pruning di parameter operator Random Forest di menit 37:40,, jadi saya masih bingung pak wkwk terimakasih",ovWY9NZXsPA,True
@rida6693,2022-11-05T15:22:33Z,4,"saya baru liat aplikasi rapidminer ini...dengan tutorial yang bapak sajikan diatas, sangat membantu saya belajar tentang rapidminer, terima kasih pak",ovWY9NZXsPA,True
@wiwiksriwilujeng6591,2022-02-21T12:40:39Z,2,"MasyaaAllah sangat bermanfaat pak,
boleh request algortima machine learning support vector machine (svm) pak?
makasih",ovWY9NZXsPA,True
@annissaherman3454,2022-02-23T04:03:49Z,2,"terima kasih pak atas videonya.
izin request yang data mining Association/asosiasi pak,  seperti fp-growth pak 🙏🙏",ovWY9NZXsPA,True
@cpuminer4684,2023-11-25T01:19:20Z,1,"penjelasannya sangat mudah diterima, 
mohon juga untuk membuat tutorial ML menggunakan tools Orange pak,
terima kasih sebelumnya",ovWY9NZXsPA,True
@haansky452,2022-09-02T10:49:37Z,1,"Halo pak

Kalo misal pada node 1.1 entropy nya nilainya 0 semua trus 
gainnya juga semua sama di angka 0.6358546 misalnya 


Perhitungan selanjutnya gmna ya pak 
Mohon bantuannya pak 🙏",ovWY9NZXsPA,True
@musika3976,2024-05-09T09:27:04Z,1,"Keren pak, semoga menjadi amal jariyah buat bapak melalui video ini, sangat bermanfaat sekali",ovWY9NZXsPA,True
@ladoir9815,2022-08-22T02:30:16Z,1,"Mohon izin bertanya pak, mengenai data testing itu diambil dari mana ya pak? karena saya mengelolah data dari kaggle🙏🏻",ovWY9NZXsPA,True
@wesssselowww990,2023-07-10T10:30:38Z,1,"Assalamualaikum pak, apakah decission tree sama dengan algoritma c4.5?",ovWY9NZXsPA,True
@The_remix_sound,2024-06-26T04:15:06Z,1,"Sejauh ini, penjelasan mas yang paling enak ditangkap dengan bahasa yg humble. Terima kasih ya mas, jadi punya opsi topik riset, sama project tim buat di kantor :D",ovWY9NZXsPA,True
@axe5457,2022-02-22T13:39:56Z,1,"Assalamualaikum pak dan terimakasih atas videonya, tolong request pak menggunakan metode svm .

Terimakasih pak , sukses dan sehat terus pak",ovWY9NZXsPA,True
@StoryWADetik-sz2wf,2022-02-27T04:04:46Z,1,Pak kalau pake dataset sendiri itu cara masukin dataset nya bagaimana ?,ovWY9NZXsPA,True
@risdyasantoso454,2022-03-25T09:49:40Z,0,Terima kasih Pak,ovWY9NZXsPA,True
@herikmulya2938,2022-11-27T13:50:52Z,0,"Pak klo data nya kebanyakan angka, karena untuk menguji apakah tindakan yang diambil untuk penurunan defect benar atau tidak",ovWY9NZXsPA,True
@salsabilaekaputri6226,2023-07-07T18:43:55Z,0,"izin bertanya pak, untuk pengklasifikasian apakah featuresnya harus lebih dari 1?",ovWY9NZXsPA,True
@MrValdi,2023-07-07T02:44:54Z,0,"masih gak paham itu data uji itu isinya apa, dan yang di uji apa, terus kalo cuma punya satu data pake split data itu untuk apa?",ovWY9NZXsPA,True
@riomiftahulhuda3396,2023-06-21T03:28:52Z,0,"selamat siang pak, tabel keputusanya dari mana yah pak, jika ada tabel keputusan seperti yang bapak praktekan, apakah bisa dikirim pak , terima kasih",ovWY9NZXsPA,True
@anzelauyun3821,2023-06-06T05:12:23Z,0,"Izin bertanya pak. Untuk menghasilkan rule yang IF - THEN itu bagaimana ya? Dan bagaimana cara membaca pohon keputusannya di description tree, terimakasih, sebelumnya",ovWY9NZXsPA,True
@wildann492,2023-06-04T15:06:53Z,0,untuk membuat retrivenya gimana ya mas?,ovWY9NZXsPA,True
@rekhafarikha8651,2023-05-31T02:56:29Z,0,"Izin bertanya, Pak.
Untuk mendapatkan rule yang ada di pohon keputusannya bagaimana ya, Pak?
Dan untuk menghitung data testing di rapidminernya bagaimana ya, Pak? Karena di bagian hasil hanya data training saja. Terimakasih sebelumnya🙏",ovWY9NZXsPA,True
@ferolialasbaun,2023-05-16T04:06:58Z,0,"Hallo pak mau nanya, saya telah mendapatkan pohon keputusannya, tapi saya bingung cara menjelaskan treenya bang, kira"" cara jelaskannya ginmmna bang
Contoh atribut umur knp paling berpengaruh, dan seterusnya sampai dpt keputusannya🙏",ovWY9NZXsPA,True
